,sfs_l21,grafting,osfs,Alpha_investing,saola
10,0.806822359905,0.851229620257,0.831927294675,0.851456506247,0.80666463051
20,0.891120176855,0.866712916503,0.85208502407,0.846933548584,0.835624372791
30,0.891120176855,0.88662048955,0.857055499804,0.851805343456,0.812839347266
40,0.891120176855,0.88662048955,0.852276131885,0.851805343456,0.867091277979
50,0.891120176855,0.88662048955,0.866223366348,0.851805343456,0.905300551217
60,0.891120176855,0.88662048955,0.891235874166,0.851805343456,0.914823508879
70,0.891120176855,0.88662048955,0.851851884172,0.846927294675,0.88253879605
80,0.891120176855,0.88662048955,0.861870645898,0.846450252338,0.88651555478
90,0.891120176855,0.88662048955,0.901492284422,0.846450252338,0.84708502407
100,0.891120176855,0.88662048955,0.875479151214,0.846450252338,0.867091277979
